Major,Early Career Pay,Mid Career Pay
Petroleum Engineering,98100,212100
Operations Research & Industrial Engineering,101200,202600
Electrical Engineering & Computer Science (EECS),128500,192300
Interaction Design,77400,178800
Building Science,71100,172400
Applied Economics and Management,81200,169300
Actuarial Mathematics,71200,167500
Optical Science & Engineering,81500,166400
Quantitative Economics,78400,165100
Operations Research,94900,164900
Systems Engineering,89700,163800
Information & Computer Science,73200,162900
Public Accounting,71500,162200
Cognitive Science,80300,162100
Aeronautics & Astronautics,89800,161600
Aerospace Studies,64500,158400
Pharmacy,71500,158000
Managerial Economics,78200,157800
Foreign Affairs,65200,157700
Political Economy,75800,156700
Chemical Engineering,87700,156100
Marine Transportation Management,78500,156100
Computer Science (CS) & Engineering,93500,154100
Corporate Accounting & Finance,79100,154000
Computer Engineering (CE),92000,153800
Electrical Power Engineering,87200,152700
Marine Engineering,89400,151800
Electrical & Computer Engineering (ECE),91100,151300
Econometrics,74200,150900
Actuarial Science,78500,150000
Astronomy,77000,150000
Mechatronics,83300,148600
Computational & Applied Mathematics,88200,148200
Construction Engineering Management,81700,148200
Aeronautical Engineering,86500,147200
Electrical Engineering (EE),87500,147200
Naval Architecture & Marine Engineering,85300,147000
Instrumentation & Control Engineering,83800,146600
Ocean Engineering (OE),80300,146600
Electrical & Electronics Engineering (EEE),86300,146400
Quantitative Business Analysis,86300,145000
Computer Science (CS) & Mathematics,82800,144900
Engineering Physics,80900,144500
Bioscience,61700,144400
Computer Science (CS),88400,143900
Jazz Studies,63800,143600
Aeronautical/Aerospace Engineering Technology,84500,142500
Bioengineering (BioE),81900,142100
Management Science,75500,141900
Aerospace Engineering,85900,141800
Information Management,71000,141400
Metallurgical Engineering,93200,141300
Applied Mathematics,79900,141100
Operations Management & Information Systems,78400,141100
Chemical & Biomolecular Engineering,88300,140900
Mechanical & Aeronautical Engineering,84200,140600
Materials Science,79000,140200
Engineering,80000,140000
Energy Management,69700,139900
Industrial & Systems Engineering,84500,139600
Materials Science & Engineering,83700,139300
Biomedical Engineering (BME),83000,139000
Welding Engineering,89200,138700
Mining Engineering,87400,138600
Engineering Science,79300,138500
Industrial Hygiene,66700,138500
Nuclear Engineering,86900,138500
Paper Science,87400,138000
Industrial Engineering (IE),83000,137800
Robotics & Automation,74700,137700
Physics,77900,137700
Integrated Science & Technology,73700,137300
Business Analysis,73100,137000
Business & Economics,69000,136700
Economics and Mathematics,79800,136700
Software Engineering,86800,136600
Computer & Information Science,78500,135600
Global & International Studies,62300,135100
Entrepreneurship & Marketing,66100,134800
International Economics,66200,134500
Materials Engineering,83700,134500
Economics,72900,134200
Environmental Health & Safety Management,69500,134200
Interactive Media Design,62400,134100
Mechanical Engineering (ME),82000,133700
Packaging Science,80700,133700
Management Information Systems (MIS),76300,133400
Ceramic Engineering,78700,133200
Structural Engineering (SE),79000,133200
Telecommunications Engineering,81400,132800
Construction Project Management,71500,132500
Finance & Real Estate,75700,132100
Electronics Engineering,81500,131700
Automotive Engineering,76600,131600
Plastics Engineering,81500,131000
Mathematics & Statistics,74400,131000
Information & Decision Sciences,75400,130000
Mechanical,82200,129900
Applied Physics,78700,129800
Building Construction (BC),75500,129700
Accounting & Economics,76700,129100
Psychobiology,60500,128600
Astrophysics,81600,128300
Financial Economics,73200,128300
International Business & Finance,71500,128100
Computing & Information Systems (CIS),70900,127700
Asian Studies,54800,127500
Government,65800,127400
Nuclear Engineering Technology (NET),96500,127400
Finance & Economics,72400,127400
Marketing & International Business,62100,127200
Biochemistry & Molecular Biology,64000,127000
Information Systems Management,72600,127000
Business Information Systems,75500,126600
Mathematics,74900,126600
Information Security & Assurance,70600,126400
Civil Engineering (CE),75800,126100
Construction Management,74200,125900
Polymer Science & Engineering,86100,125800
International Management,67500,125700
Applied Economics,71900,125600
Construction Science,79800,125600
Economics & Political Science,66100,125600
Political Communication,59300,125500
Aeronautical Science,64900,125300
Control Engineering,80000,125300
Russian Studies,57900,125200
Business Economics,68600,125100
Civil & Environmental Engineering,75900,124900
Business Computer Information Systems (BCIS),76500,124500
Cybersecurity,74800,124400
Engineering Management,79400,124200
Information Systems (IS),75300,124200
Manufacturing Engineering,79800,124200
Real Estate,71400,124200
Building Construction Management,73600,124100
Plastics Engineering Technology,75000,124000
International Marketing,67500,123700
Aviation,67500,123000
Biosystems Engineering,74800,123000
Data Processing,75900,122800
Food Marketing,67100,122800
Computer Science & Information Technology,76300,122500
Agricultural Economics,62400,122400
Management & Finance,66100,122400
Strategic Management,76400,122400
Computer Management Information Systems (CMIS),65800,122300
Organic Chemistry,51400,122200
Finance,70800,122000
Financial Planning,63300,121900
Web Development,64600,121700
European Studies,62700,121600
Construction Engineering,78300,121300
International Relations,62900,121200
Molecular Biology,64300,121100
International Business,65100,121100
Computer Information Systems (CIS),71700,121000
Information Security,76400,120700
Japanese Language,62100,120700
East Asian Studies,60100,120400
Economics & Management,62800,120100
European History,62700,120000
Agricultural Engineering (AE),73500,119900
Architectural Engineering,76400,119800
Entrepreneurship & Leadership,67000,119800
Computing,73400,119800
Information Technology Management,74100,119700
Electrical Engineering Technology (EET),76100,119600
Chinese Language,62700,119500
Business Finance,67100,119400
Sales & Business Marketing,67000,119300
Safety Science,72600,119200
Corporate Finance,74500,119100
Industrial Distribution,73600,118900
Computer Engineering Technology (CET),72900,118800
Dairy Science,60100,118300
Japanese Studies,59700,118100
Network Engineering,71500,118000
Environmental Engineering,72600,117700
Accounting & Taxation,60000,117500
